,Id
0,8767
1,9140
2,15533
3,12656
4,28743
5,1405924
6,1241498
7,550606
8,1164931
9,1874660
10,287
11,114
12,8783
13,1248
14,48
15,559725
16,1245778
17,55828
18,1176187
19,2013360
20,2231
21,10689
22,52037
23,53184
24,74307
25,108916
26,73421
27,5294
28,235125
29,1213279
30,31
31,3197
32,12833
33,1892
34,12834
35,1371398
36,1154054
37,1115984
38,55091
39,83860
40,77996
41,224188
42,21657
43,11207
44,36669
45,10017
46,14528
47,10606
48,13566
49,41240
50,18897
51,3036
52,3490
53,138010
54,17991
55,3894
56,19498
57,147056
58,6164
59,17697
60,18473
61,154784
62,94864
63,59254
64,17838
65,1220123
66,1452045
67,4787
68,86232
69,17678
70,17688
71,17689
72,42009
73,62477
74,934
75,112
76,2201
77,227
78,2983
79,145275
80,213255
81,1443652
82,213256
83,228056
84,30430
85,20275
86,178622
87,5471
88,109621
89,37625
90,65731
91,4937
92,20374
93,972356
94,40036
95,6944
96,1005852
97,1269
98,205
99,90496
100,1142720
101,225694
102,225695
103,996700
104,131771
105,12073
106,776
107,6941
108,5823
109,3131
110,18918
111,976
112,17605
113,556356
114,15735
115,15757
116,5723
117,5724
118,66580
119,515510
120,82093
121,51990
122,78324
123,10872
124,65
125,7962
126,6197
127,21198
128,115301
129,1492982
130,1325034
131,1254671
132,12898
133,8873
134,25147
135,298410
136,13240
137,52139
138,71070
139,192
140,207150
141,3234
142,7090
143,7167
144,12074
145,1925
146,1230
147,7904
148,884
149,5563
150,10
151,6193
152,21007
153,234352
154,10297
155,3497
156,10859
157,54882
158,1047649
159,78452
160,1201637
161,1246233
162,85
163,1281
164,1282
165,1283
166,1284
167,12899
168,12900
169,1193391
170,258
171,4589
172,10402
173,154004
174,6968
175,234479
176,19034
177,79072
178,53650
179,37917
180,11288
181,21029
182,84214
183,45827
184,118545
185,1254583
186,49971
187,222130
188,59251
189,77122
190,82700
191,224874
192,234619
193,82455
194,204
195,1954
196,8534
197,3713
198,33235
199,454
200,10959
201,78110
202,1255958
203,16607
204,105692
205,1510237
206,1223786
207,237455
208,47627
209,4391
210,74056
211,1164874
212,81840
213,142586
214,877374
215,1136406
216,2232
217,3223
218,3141
219,15277
220,225730
221,1369100
222,1668610
223,936275
224,1210634
225,56857
226,54693
227,19492
228,18997
229,83002
230,1800818
231,1055917
232,983929
233,1824551
234,1967708
235,4756
236,15152
237,16940
238,10730
239,20005
240,25638
241,10341
242,37777
243,27932
244,19463
245,500
246,11084
247,5576
248,11085
249,4139
250,63978
251,67392
252,35232
253,31468
254,9601
255,40462
256,19394
257,54415
258,221611
259,1225953
260,15831
261,10980
262,10989
263,10990
264,1923
265,5469
266,65424
267,73044
268,52404
269,205307
270,10669
271,34982
272,140
273,501
274,10742
275,65827
276,12094
277,6972
278,90569
279,224683
280,12835
281,1341
282,53975
283,1390948
284,1246972
285,5472
286,1303037
287,1282054
288,58646
289,58647
290,16427
291,58648
292,134
293,17276
294,17782
295,14888
296,57451
297,1810
298,3895
299,64
300,6383
301,2975
302,9777
303,9778
304,9779
305,9780
306,1813
307,2524
308,3084
309,1158
310,3085
311,3087
312,3896
313,11825
314,10696
315,2221
316,61962
317,880
318,15556
319,17604
320,65717
321,59175
322,6384
323,4238
324,59270
325,35690
326,9562
327,5915
328,13936
329,58058
330,7370
331,76857
332,7368
333,955272
334,146356
335,8293
336,76512
337,51792
338,20189
339,141
340,20309
341,39126
342,70456
343,2040
344,17647
345,8169
346,21702
347,14592
348,15860
349,7420
350,49265
351,6065
352,20162
353,55422
354,4494
355,53336
356,109513
357,105727
358,517
359,1606415
360,1306891
361,1659255
362,44936
363,4785
364,4783
365,4784
366,3242
367,1603204
368,2456652
369,2387
370,10690
371,73985
372,1473783
373,2187350
374,1373020
375,1480370
376,3392707
377,142010
378,107166
379,103769
380,75926
381,26223
382,1544084
383,1544088
384,1544086
385,1544090
386,9656
387,56584
388,110068
389,56585
390,56586
391,477
392,1127406
393,1065203
394,1345286
395,1328982
396,1345289
397,123088
398,1084242
399,123079
400,135573
401,42545
402,105276
403,76575
404,143297
405,5658
406,37632
407,77795
408,58873
409,998225
410,72466
411,82055
412,82057
413,89971
414,550662
415,89835
416,74568
417,91606
418,62561
419,7026
420,8349
421,524
422,4173
423,1640
424,3810
425,118
426,1017347
427,115150
428,11181
429,8930
430,194
431,10993
432,116
433,1709
434,2440
435,955
436,2449
437,8691
438,10205
439,32747
440,9560
441,37366
442,5248
443,57921
444,76961
445,527313
446,566080
447,87287
448,117656
449,57514
450,9290
451,53185
452,58393
453,59296
454,210350
455,219659
456,237076
457,23721
458,121574
459,121575
460,121576
461,121577
462,1958615
463,175913
464,1496335
465,2092553
466,1818534
467,90582
468,90755
469,147893
470,58794
471,141538
472,239996
473,55470
474,17628
475,17328
476,17441
477,62064
478,15555
479,84247
480,22227
481,2043987
482,2906991
483,2349188
484,2349189
485,2349190
486,1094091
487,132712
488,1172147
489,133980
490,1210610
491,936508
492,1140977
493,84706
494,25099
495,1301337
496,17178
497,1330999
498,1518
499,16358
500,175826
501,1180907
502,1070853
503,1070854
504,176227
505,1070855
506,1386160
507,6162
508,155
509,61114
510,467645
511,1650301
512,1277188
513,3127
514,17402
515,851784
516,137905
517,5530
518,19278
519,1237603
520,17419
521,35013
522,221019
523,18288
524,1686
525,122191
526,65510
527,122660
528,115790
529,122501
530,625
531,1325962
532,1245094
533,2040402
534,1919754
535,1247771
536,24651
537,131563
538,9714
539,20664
540,78402
541,122193
542,85286
543,618
544,115305
545,19537
546,21200
547,886
548,1163622
549,4587
550,18702
551,1776040
552,380
553,1545693
554,4432
555,16841
556,6
557,130
558,17244
559,231075
560,112298
561,132232
562,589456
563,140082
564,16828
565,103
566,1245
567,73457
568,28847
569,13014
570,15854
571,17181
572,1108907
573,7132
574,17288
575,8289
576,62862
577,150903
578,127720
579,1024395
580,1255881
581,1042232
582,109432
583,11678
584,7248
585,59620
586,93564
587,51300
588,1870972
589,73040
590,228969
591,1073327
592,1108568
593,9827
594,7401
595,2299
596,3061
597,11355
598,13250
599,227612
600,20333
601,2023564
602,60900
603,46593
604,11107
605,2282
606,6692
607,6693
608,33260
609,11863
610,26457
611,1817
612,1753914
613,1114487
614,1684130
615,2161745
616,1039523
