"adult","backdrop_path","belongs_to_collection","budget","genres","homepage","id","genre","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
false,"/mJSe5dxKu8Sq0GfdjdWVqdGvzfV.jpg",,50000000,"[{""id"":14,""name"":""Fantasy""},{""id"":27,""name"":""Horror""},{""id"":28,""name"":""Action""}]","",60304,,"tt1428538","en","Hansel & Gretel: Witch Hunters","After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",65.714,"/j343Rpj3WeNvP0SV80zveve70io.jpg","[{""id"":4,""logo_path"":""/gz66EfNoYPqHTYI4q9UEN4CbHRc.png"",""name"":""Paramount"",""origin_country"":""US""},{""id"":746,""logo_path"":""/kc7bdIVTBkJYy9aDK1QDDTAL463.png"",""name"":""MTV Films"",""origin_country"":""US""},{""id"":4740,""logo_path"":""/20IuOPEwlHRXnn0MTOsEmw0wcql.png"",""name"":""Gary Sanchez Productions"",""origin_country"":""US""},{""id"":264,""logo_path"":""/fA90qwUKgPhMONqtwY60GaHRyrW.png"",""name"":""Studio Babelsberg"",""origin_country"":""DE""},{""id"":21,""logo_path"":""/aOWKh4gkNrfFZ3Ep7n0ckPhoGb5.png"",""name"":""Metro-Goldwyn-Mayer"",""origin_country"":""US""},{""id"":45198,""logo_path"":""/9z46Z8Px88a30wkr7G0QUDbbtt2.png"",""name"":""Deutscher Filmförderfonds"",""origin_country"":""DE""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""},{""iso_3166_1"":""DE"",""name"":""Germany""}]","2013-01-17",226349749,88,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Classic tale. New twist.","Hansel & Gretel: Witch Hunters",false,6,5910
false,"/1dFKtwFarEj47JRJHe9dPpMLyQF.jpg","{""id"":52985,""name"":""Wrong Turn Collection"",""poster_path"":""/dtfQY5ZxvdHNG4HqNDy0ifwk1q6.jpg"",""backdrop_path"":""/32IsLLCoj3mIkZbLfCKSXZVqd3k.jpg""}",3000000,"[{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""}]","",125509,,"tt2375779","en","Wrong Turn 5: Bloodlines","A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",87.511,"/i9prGtsGbWzaH30bp8TXPEs6QGm.jpg","[{""id"":491,""logo_path"":""/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png"",""name"":""Summit Entertainment"",""origin_country"":""US""},{""id"":47,""logo_path"":""/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png"",""name"":""Constantin Film"",""origin_country"":""DE""}]","[{""iso_3166_1"":""DE"",""name"":""Germany""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2012-10-23",0,91,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","The inbred hillbillies are back!","Wrong Turn 5: Bloodlines",false,5.4,713
false,"/bylGn5OC2h3BWfGLYFtIcxlYxLy.jpg","{""id"":228446,""name"":""Insidious Collection"",""poster_path"":""/w1213HKk1XKSwHiBgjkWghn9biC.jpg"",""backdrop_path"":""/5FrPZHgbbmTIq0oxpwSGqu5HyXC.jpg""}",1500000,"[{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""}]","http://www.insidious-movie.com/",49018,,"tt1591095","en","Insidious","A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",76.76,"/tmlDFIUpGRKiuWm9Ixc6CYDk4y0.jpg","[{""id"":7263,""logo_path"":""/auaadhBBcvvTDtmW2iJzOrEjfgO.png"",""name"":""FilmDistrict"",""origin_country"":""US""},{""id"":11341,""logo_path"":""/xytTBODEy3p20ksHL4Ftxr483Iv.png"",""name"":""Stage 6 Films"",""origin_country"":""US""},{""id"":2514,""logo_path"":null,""name"":""Alliance Films"",""origin_country"":""CA""},{""id"":7437,""logo_path"":""/e5CcgFrdlxMUwlsS72si8q1yHBr.png"",""name"":""IM Global"",""origin_country"":""US""},{""id"":21742,""logo_path"":null,""name"":""Haunted Movies"",""origin_country"":""""},{""id"":3172,""logo_path"":""/kDedjRZwO8uyFhuHamomOhN6fzG.png"",""name"":""Blumhouse Productions"",""origin_country"":""US""}]","[{""iso_3166_1"":""CA"",""name"":""Canada""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2010-09-13",97009150,103,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","It's not the House that's Haunted.","Insidious",false,6.9,5518
false,"/6jajFcaY2YsfGQstJ5HaqZNVseX.jpg","{""id"":135416,""name"":""Prometheus Collection"",""poster_path"":""/gMjiXB5dhV8nN77xXnhTIhARE7a.jpg"",""backdrop_path"":""/cK83Pq8SJoeSTnLJucr8IWn35KF.jpg""}",97000000,"[{""id"":27,""name"":""Horror""},{""id"":878,""name"":""Science Fiction""},{""id"":9648,""name"":""Mystery""}]","https://www.20thcenturystudios.com/movies/alien-covenant",126889,,"tt2316204","en","Alien: Covenant","Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",81.545,"/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg","[{""id"":1645,""logo_path"":""/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png"",""name"":""Scott Free Productions"",""origin_country"":""GB""},{""id"":19747,""logo_path"":null,""name"":""Brandywine Productions"",""origin_country"":""US""},{""id"":22213,""logo_path"":""/qx9K6bFWJupwde0xQDwOvXkOaL8.png"",""name"":""TSG Entertainment"",""origin_country"":""US""},{""id"":25,""logo_path"":""/qZCc1lty5FzX30aOCVRBLzaVmcp.png"",""name"":""20th Century Fox"",""origin_country"":""US""}]","[{""iso_3166_1"":""AU"",""name"":""Australia""},{""iso_3166_1"":""CA"",""name"":""Canada""},{""iso_3166_1"":""NZ"",""name"":""New Zealand""},{""iso_3166_1"":""GB"",""name"":""United Kingdom""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2017-05-09",240891763,122,"[{""english_name"":""German"",""iso_639_1"":""de"",""name"":""Deutsch""},{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","The path to paradise begins in hell.","Alien: Covenant",false,6.1,7130
false,"/fVpFOcQyHJM2di9upgSIwWD5wac.jpg","{""id"":619537,""name"":""Train to Busan Collection"",""poster_path"":""/tHf6vEy8YlXlICu9HBaHK0kEJ89.jpg"",""backdrop_path"":""/Ar1VVyp0cnXNmIc8t3eUOzvbPn2.jpg""}",8500000,"[{""id"":28,""name"":""Action""},{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""}]","https://www.wellgousa.com/films/train-to-busan",396535,,"tt5700672","ko","부산행","Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…",85.405,"/3H1WFCuxyNRP35oiL2qqwhAXxc0.jpg","[{""id"":20064,""logo_path"":""/2In7Heq6DuXDjOwPmJqHWkpohaL.png"",""name"":""Next Entertainment World"",""origin_country"":""KR""},{""id"":103875,""logo_path"":""/b4VEWBV2hgvrXts7VlAcnkZTLwM.png"",""name"":""RedPeter Film"",""origin_country"":""KR""}]","[{""iso_3166_1"":""KR"",""name"":""South Korea""}]","2016-07-20",87547518,118,"[{""english_name"":""Korean"",""iso_639_1"":""ko"",""name"":""한국어/조선말""}]","Released","Life-or-death survival begins.","Train to Busan",false,7.8,5711
false,"/xcjJ5khg2yzOa282mza39Lbrm7j.jpg","{""id"":12263,""name"":""The Exorcist Collection"",""poster_path"":""/uPTu5kroKS6lHm6TKncIzVgwW2o.jpg"",""backdrop_path"":""/tuORKw8hnP7Gd03BdBV6TmySR2G.jpg""}",11000000,"[{""id"":27,""name"":""Horror""}]","http://theexorcist.warnerbros.com/",9552,,"tt0070047","en","The Exorcist","12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",70.726,"/4ucLGcXVVSVnsfkGtbLY4XAius8.jpg","[{""id"":48184,""logo_path"":null,""name"":""Hoya Productions"",""origin_country"":""""},{""id"":174,""logo_path"":""/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png"",""name"":""Warner Bros. Pictures"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","1973-12-26",441306145,122,"[{""english_name"":""German"",""iso_639_1"":""de"",""name"":""Deutsch""},{""english_name"":""French"",""iso_639_1"":""fr"",""name"":""Français""},{""english_name"":""Latin"",""iso_639_1"":""la"",""name"":""Latin""},{""english_name"":""Arabic"",""iso_639_1"":""ar"",""name"":""العربية""},{""english_name"":""Greek"",""iso_639_1"":""el"",""name"":""ελληνικά""},{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Something almost beyond comprehension is happening to a girl on this street, in this house… and a man has been sent for as a last resort. This man is The Exorcist.","The Exorcist",false,7.7,6328
false,"/o2SeAw8ARPB1D8oudCRJcxW3w60.jpg","{""id"":52985,""name"":""Wrong Turn Collection"",""poster_path"":""/dtfQY5ZxvdHNG4HqNDy0ifwk1q6.jpg"",""backdrop_path"":""/32IsLLCoj3mIkZbLfCKSXZVqd3k.jpg""}",4000000,"[{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""}]","",13186,,"tt0804555","en","Wrong Turn 2: Dead End","Retired military commander Colonel Dale Murphy hosts the simulated post-apocalyptic reality show where participants are challenged to survive a remote West Virginia wasteland. But the show turns into a nightmarish showdown when each realizes they are being hunted by an inbred family of cannibals determined to make them all dinner!",93.313,"/nptL3mMWNNssU78Lcfb3LaXQEqu.jpg","[{""id"":25,""logo_path"":""/qZCc1lty5FzX30aOCVRBLzaVmcp.png"",""name"":""20th Century Fox"",""origin_country"":""US""},{""id"":491,""logo_path"":""/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png"",""name"":""Summit Entertainment"",""origin_country"":""US""},{""id"":47,""logo_path"":""/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png"",""name"":""Constantin Film"",""origin_country"":""DE""}]","[{""iso_3166_1"":""DE"",""name"":""Germany""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2007-08-25",0,96,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Evil Awaits.","Wrong Turn 2: Dead End",false,6,1028
false,"/Abv3ZtGV2NXxPimArb3LDLg2bDH.jpg","{""id"":23616,""name"":""Naruto Collection"",""poster_path"":""/q9rrfRgPUFkFqDF74jlvNYp3RpN.jpg"",""backdrop_path"":""/prLI2SNNkd9wcQkFh9iWXzQtR5D.jpg""}",0,"[{""id"":53,""name"":""Thriller""},{""id"":16,""name"":""Animation""},{""id"":28,""name"":""Action""},{""id"":35,""name"":""Comedy""},{""id"":27,""name"":""Horror""},{""id"":9648,""name"":""Mystery""}]","http://www.naruto-movie.com/",75624,,"tt1999167","ja","劇場版 NARUTO -ナルト- ブラッド・プリズン","After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",100.293,"/4WT7zYFpe0fsbg6TitppiHddWAh.jpg","[{""id"":2883,""logo_path"":""/rDYExnBV61jGQnkhVVrPN4Yl7O1.png"",""name"":""Aniplex"",""origin_country"":""JP""},{""id"":7884,""logo_path"":null,""name"":""Densetsu"",""origin_country"":""""},{""id"":3234,""logo_path"":""/wTPPnz05ZCQgEQVeSOxTkUCyhr5.png"",""name"":""Pierrot"",""origin_country"":""JP""},{""id"":155586,""logo_path"":""/rogLuRSNdqLI9r29ZCzD0i0kfJW.png"",""name"":""Bandai"",""origin_country"":""JP""},{""id"":2918,""logo_path"":""/gyEWUBWwqrm3H5T2hkERD9LxpOq.png"",""name"":""Shueisha"",""origin_country"":""JP""},{""id"":3034,""logo_path"":""/kGRavMqgyx4p2X4C96bjRCj50oI.png"",""name"":""TV Tokyo"",""origin_country"":""JP""}]","[{""iso_3166_1"":""JP"",""name"":""Japan""}]","2011-07-30",0,108,"[{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","","Naruto Shippuden the Movie: Blood Prison",false,7.2,372
false,"/zq1gg17cE6wu139QAbkCvAXJsUH.jpg","{""id"":96671,""name"":""The Human Centipede Collection"",""poster_path"":""/mv0MySTqfXg2ndthOkBg6bGwlnk.jpg"",""backdrop_path"":""/iNRMelQcaKeVdinF28uU9YOmvYx.jpg""}",2011799,"[{""id"":27,""name"":""Horror""}]","",37169,,"tt1467304","en","The Human Centipede (First Sequence)","During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon who explains his mad scientific vision to his captives' utter horror. They are to be the subjects of his sick lifetime fantasy: to be the first to connect people, one to the next, and in doing so bring to life ""the human centipede.""",82.043,"/gMtjxIkEi0hnTV5lPHbgeZ4ZpUZ.jpg","[{""id"":5652,""logo_path"":null,""name"":""Six Entertainment"",""origin_country"":""""}]","[{""iso_3166_1"":""NL"",""name"":""Netherlands""},{""iso_3166_1"":""GB"",""name"":""United Kingdom""}]","2009-04-26",252207,92,"[{""english_name"":""German"",""iso_639_1"":""de"",""name"":""Deutsch""},{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""},{""english_name"":""Japanese"",""iso_639_1"":""ja"",""name"":""日本語""}]","Released","Their flesh is his fantasy","The Human Centipede (First Sequence)",false,5.2,1708
false,"/jncviKGvFlxdeh6vYWe9g4LmG3j.jpg","{""id"":52985,""name"":""Wrong Turn Collection"",""poster_path"":""/dtfQY5ZxvdHNG4HqNDy0ifwk1q6.jpg"",""backdrop_path"":""/32IsLLCoj3mIkZbLfCKSXZVqd3k.jpg""}",3000000,"[{""id"":27,""name"":""Horror""},{""id"":53,""name"":""Thriller""}]","",23823,,"tt1261978","en","Wrong Turn 3: Left for Dead","A group of people find themselves trapped in the backwoods of West Virginia, fighting for their lives against a group of vicious and horribly disfigured inbred cannibals.",100.662,"/84s4LMWuGbm4xPWW5PSbHyQhh33.jpg","[{""id"":47,""logo_path"":""/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png"",""name"":""Constantin Film"",""origin_country"":""DE""},{""id"":491,""logo_path"":""/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png"",""name"":""Summit Entertainment"",""origin_country"":""US""}]","[{""iso_3166_1"":""DE"",""name"":""Germany""},{""iso_3166_1"":""US"",""name"":""United States of America""}]","2009-10-20",0,91,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","What you don't see will kill you.","Wrong Turn 3: Left for Dead",false,5.6,859
false,"/o66gNgpf82INdT047Aboul5plKo.jpg",,69000000,"[{""id"":28,""name"":""Action""},{""id"":14,""name"":""Fantasy""},{""id"":27,""name"":""Horror""}]","",72331,,"tt1611224","en","Abraham Lincoln: Vampire Hunter","President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",99.703,"/5dTZylzoBV9qsrub9vYLAZrNkX3.jpg","[{""id"":1038,""logo_path"":""/o62j8ZNXmRTrq6ThviFWiL9zb8J.png"",""name"":""Bazelevs Production"",""origin_country"":""RU""},{""id"":8601,""logo_path"":null,""name"":""Tim Burton Productions"",""origin_country"":""""},{""id"":36430,""logo_path"":null,""name"":""Abraham Productions"",""origin_country"":""""},{""id"":36431,""logo_path"":null,""name"":""Location Gourmet"",""origin_country"":""""},{""id"":25,""logo_path"":""/qZCc1lty5FzX30aOCVRBLzaVmcp.png"",""name"":""20th Century Fox"",""origin_country"":""US""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2012-06-20",116471580,94,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","Are you a patriot or a vampire?","Abraham Lincoln: Vampire Hunter",false,5.7,2797
false,"/2351A6j2YJjuKstEyZl9uObpMrm.jpg",,0,"[{""id"":28,""name"":""Action""},{""id"":18,""name"":""Drama""},{""id"":27,""name"":""Horror""},{""id"":878,""name"":""Science Fiction""},{""id"":53,""name"":""Thriller""}]","",25769,,"tt0806203","en","Carriers","A deadly virus has spread across the globe. Contagion is everywhere, no one is safe, and no one can be trusted. Four friends race through the back roads of the American West on their way to a secluded utopian beach in the Gulf of Mexico where they could peacefully wait out the pandemic. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal their fates.",118.462,"/jxjnjHtHXgvjdhkwpelE9ZwVMg6.jpg","[{""id"":838,""logo_path"":""/tcW3UqV46Mdq6GyaS1ydEDocEDF.png"",""name"":""Paramount Vantage"",""origin_country"":""US""},{""id"":1785,""logo_path"":""/wT6aIkuQTNuq8XFoDGACK8EyR6w.png"",""name"":""Likely Story"",""origin_country"":""US""},{""id"":10059,""logo_path"":null,""name"":""This Is That Productions"",""origin_country"":""US""},{""id"":4482,""logo_path"":null,""name"":""Ivy Boy Productions"",""origin_country"":""""}]","[{""iso_3166_1"":""US"",""name"":""United States of America""}]","2009-09-04",5802422,84,"[{""english_name"":""English"",""iso_639_1"":""en"",""name"":""English""}]","Released","The rules are simple. You break them, you die...","Carriers",false,6.1,1106
